"id","major_id","year","method","score","note","url","created_at","updated_at"
48,48,2023,"Diem thi THPT",36.50,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.116638","2026-08-11 13:54:02.116638"
49,49,2023,"Diem thi THPT",35.75,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.118706","2026-08-11 13:54:02.118706"
50,50,2023,"Diem thi THPT",27.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.119906","2026-08-11 13:54:02.119906"
51,51,2023,"Diem thi THPT",26.75,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.121841","2026-08-11 13:54:02.121841"
52,52,2023,"Diem thi THPT",36.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.123214","2026-08-11 13:54:02.123214"
53,53,2023,"Diem thi THPT",26.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.124446","2026-08-11 13:54:02.124446"
54,54,2023,"Diem thi THPT",35.65,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.125482","2026-08-11 13:54:02.125482"
55,55,2023,"Diem thi THPT",35.65,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.126303","2026-08-11 13:54:02.126303"
56,56,2023,"Diem thi THPT",37.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.12772","2026-08-11 13:54:02.12772"
57,57,2023,"Diem thi THPT",36.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.129547","2026-08-11 13:54:02.129547"
58,58,2023,"Diem thi THPT",36.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.131979","2026-08-11 13:54:02.131979"
59,59,2023,"Diem thi THPT",35.65,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.133097","2026-08-11 13:54:02.133097"
60,60,2023,"Diem thi THPT",35.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.133985","2026-08-11 13:54:02.133985"
61,1,2024,"Diem thi THPT",35.60,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.134511","2026-08-11 13:54:02.134511"
62,2,2024,"Diem thi THPT",27.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.135299","2026-08-11 13:54:02.135299"
63,3,2024,"Diem thi THPT",27.01,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.136071","2026-08-11 13:54:02.136071"
64,4,2024,"Diem thi THPT",27.34,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.136737","2026-08-11 13:54:02.136737"
65,5,2024,"Diem thi THPT",27.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.137278","2026-08-11 13:54:02.137278"
66,6,2024,"Diem thi THPT",27.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.137775","2026-08-11 13:54:02.137775"
67,7,2024,"Diem thi THPT",27.54,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.138155","2026-08-11 13:54:02.138155"
68,8,2024,"Diem thi THPT",36.23,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.13856","2026-08-11 13:54:02.13856"
69,9,2024,"Diem thi THPT",36.20,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.138977","2026-08-11 13:54:02.138977"
70,10,2024,"Diem thi THPT",28.18,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.13933","2026-08-11 13:54:02.13933"
71,11,2024,"Diem thi THPT",27.15,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.139642","2026-08-11 13:54:02.139642"
72,12,2024,"Diem thi THPT",27.78,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.139932","2026-08-11 13:54:02.139932"
