school_code,school_name,address,region,website_url,tuition_range,latitude,longitude,dean_url,source
SIU,Trường Đại học Quốc Tế Sài Gòn,"8C Tống Hữu Định, Phường An Khánh, TPHCM",Thủ Đức,www.siu.edu.vn,,10.8054975,106.7322973,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quoc-te-sai-gon-SIU.html,merged
DCA,Trường Đại học Intracom,"Cơ sở Khu đô thị Ecopark, Văn Giang, Hưng Yên",Tỉnh Hưng Yên,https://www.ecouni.vn/,,20.653859,106.0666604,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-chu-van-an-DCA.html,merged
DLA,Trường Đại Học Kinh Tế Công Nghiệp Long An,"Số 938 Quốc lộ 1, Phường Khánh Hậu, tỉnh Tây Ninh",Tỉnh Tây Ninh,https://www.daihoclongan.edu.vn/,- 14.5 triệu/HK | - Không thay đổi trong suốt khóa học,10.5100407,106.381338,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-cong-nghiep-long-an-DLA.html,merged
DBH,Trường Đại Học Quốc Tế Bắc Hà,"Đường Hồng Ân, Thị trấn Lim, Huyện Tiên Du, Tỉnh Bắc Ninh",,www.bhiu.edu.vn,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quoc-te-bac-ha-DBH.html,merged
SKN,Trường Đại Học Sư Phạm Kỹ Thuật Nam Định,Đường Phù Nghĩa - Phường Thiên Trường - Tỉnh Ninh Bình,Tỉnh Ninh Bình,http://www.nute.edu.vn,,20.4493429,106.183329,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ky-thuat-nam-dinh-SKN.html,merged
NLG,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,"Đường Trần Nhật Duật, Thôn 1, Xã Diên Phú, TP. Pleiku, Tỉnh Gia Lai",,https://phgl.hcmuaf.edu.vn/,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-nong-lam-tphcm-tai-gia-lai-NLG.html,merged
DTN,Trường Đại Học Nông Lâm Thái Nguyên,"Phường Quyết Thắng, Tỉnh Thái Nguyên",Tỉnh Thái Nguyên,https://tuaf.edu.vn/,,21.5946217,105.8054965,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nong-lam-thai-nguyen-DTN.html,merged
UMT,Trường Đại học Quản lý và công nghệ TPHCM,": Số 2 Đường số 60CL, Khu phố 9, Phường Cát Lái, TP.HCM",,https://www.umt.edu.vn/vi-vn/,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quan-ly-va-cong-nghe-tphcm-UMT.html,merged
DCQ,Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,"Lô 1 - 04, số 431 Tam Trinh, P. Hoàng Mai, Hà Nội",Thành phố Hà Nội,https://www.utm.edu.vn/,,20.9828259,105.8652373,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-va-quan-ly-huu-nghi-DCQ.html,merged
DHQ,Phân Hiệu Đại Học Huế tại Quảng Trị,Đường Điện Biên Phủ - P Đông Lương – TP Đông Hà – Tỉnh Quảng Trị,Tỉnh Quảng Trị,https://qtb.hueuni.edu.vn/,"Học phí năm học 2025-2026 của Phân hiệu Đại học Huế tại Quảng Trị được thu theo quy định tại khoản 1, điều 5 Quy định mức thu học phí, miễn giảm học phí và thanh toán giảng dạy nội bộ trong Đại học Huế từ năm học 2023 - 2024 đến năm học 2026 - 2027 ban hành kèm theo Quyết định số 535/QĐ-ĐHH ngày 15/5/2024 của Giám đốc Đại học Huế. | - Học phí năm học 2025 - 2026: Dự kiến thu từ 17.000.000/sinh viê",16.7885978,107.097419,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-hue-tai-quang-tri-DHQ.html,merged
TBD,Trường Đại Học Thái Bình Dương,"Số 79, đường Mai Thị Dõng, Hòn Nghê 1, phường Tây Nha Trang, tỉnh Khánh Hòa",,https://tbd.edu.vn/,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thai-binh-duong-TBD.html,merged
DHV,Trường Đại học Hùng Vương TPHCM,"37 Kinh Dương Vương, phường Phú Lâm, TP HCM (CS1: 194 Lê Đức Thọ, P. An Nhơn, TP HCM; CS2: 736 Nguyễn Trãi, P. Chợ Lớn, TP.HCM;  CS3: 37 Kinh Dương Vương, P. Phú Lâm, TP.HCM)",Thủ Đức,www.hvuh.edu.vn,,10.7532728,106.6603408,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hung-vuong-tphcm-DHV.html,merged
DVB,Trường Đại Học Kinh tế công nghệ Thái Nguyên,Đường 1B- Phường Đồng Bẩm- Thành phố Thái Nguyên,Tỉnh Thái Nguyên,http://tuetech.edu.vn/,,21.6077024,105.8412381,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-cong-nghe-thai-nguyen-DVB.html,merged
DPX,Trường Đại Học Phú Xuân,"176 Trần Phú, phường Thuận Hóa, TP. Huế",Phường Thuận Hóa,https://phuxuan.edu.vn/,,16.4507266,107.5854033,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-phu-xuan-DPX.html,merged
HPU,Trường Đại học Quản lý và Công nghệ Hải Phòng,"Số 36 Dân lập, phường Lê Chân, thành phố Hải Phòng",Phường Lê Chân,http://www.hpu.edu.vn,,20.838541,106.6876522,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quan-ly-va-cong-nghe-hai-phong-HPU.html,merged
MTU,Trường Đại Học Xây Dựng Miền Tây,"Số 20B đường Phó Cơ Điều, phường Phước Hậu, tỉnh Vĩnh Long",Tỉnh Vĩnh Long,https://mtu.edu.vn/,,10.2354732,105.9621809,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-xay-dung-mien-tay-MTU.html,merged
VHD,Trường Đại Học Công Nghiệp Việt - Hung,"Số 16, phố Hữu Nghị, phường Tùng Thiện, TP. Hà Nội",Thành phố Hà Nội,http://www.viu.edu.vn,,21.1116923,105.4439583,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-viet-hung-VHD.html,merged
LNA,Phân hiệu Đại học Lâm nghiệp tỉnh Gia Lai,"Phường Hội Phú, Tỉnh Gia Lai",,https://vnuf3.edu.vn/,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-lam-nghiep-tinh-gia-lai-LNA.html,merged
NHP,Học Viện Ngân Hàng (Phân Viện Phú Yên),"Số 441 đường Nguyễn Huệ, TP Tuy Hòa, tỉnh Phú Yên.",Tỉnh Đắk Lắk,https://bap.edu.vn/,"Học phí dự kiến cho năm học 2026–2027 của các chương trình là: 825.000 đồng/tín chỉ, tương đương khoảng 27,8 triệu đồng/năm học theo tiến độ học tập thông thường. Đối với các năm học còn lại của khóa học, Học viện dự kiến tăng học phí theo lộ trình được quy định tại Nghị định số 238/2025/NĐ-CP ngày 03/09/2025 của Chính phủ với mức tăng không quá 15%/năm học và tuân thủ các quy định pháp luật, văn ",13.0972433,109.3173476,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ngan-hang-phan-vien-phu-yen-NHP.html,merged
UFA,Trường Đại học Tài Chính Kế Toán,"02 Lê Quý Đôn, Tư Nghĩa, Quảng Ngãi",Tỉnh Quảng Ngãi,https://www.tckt.edu.vn/,,15.0922134,108.824975,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/-UFA.html,merged
GDU,Trường Đại Học Gia Định,"371 Nguyễn Kiệm, Phường Hạnh Thông, TP.HCM",Thủ Đức,https://giadinh.edu.vn/,Học phí đại học chính quy theo tín chỉ: từ 1.000.000 đến 1.400.000 đồng/1 tín chỉ. | Lộ trình tăng học phí tối đa không quá 8% cho từng năm.,10.8173667,106.6775227,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-gia-dinh-GDU.html,merged
DDM,Trường Đại Học Công Nghiệp Quảng Ninh,"Phường Mạo Khê, Tỉnh Quảng Ninh",Tỉnh Quảng Ninh,www.qui.edu.vn,,21.0594613,106.6234518,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-quang-ninh-DDM.html,merged
XDT,Trường Đại Học Xây Dựng Miền Trung,"195 Hà Huy Tập, phường Bình Kiến , tỉnh Đắk Lắk",Tỉnh Đắk Lắk,https://muce.edu.vn/,,13.1222668,109.290536,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-xay-dung-mien-trung-XDT.html,merged
DSG,Trường Đại Học Công Nghệ Sài Gòn,"180 Cao Lỗ, Phường Chánh Hưng, Tp. Hồ Chí Minh",Thủ Đức,http://www.stu.edu.vn,,10.7379821,106.6779264,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-sai-gon-DSG.html,merged
XDN,Phân hiệu Đại học Xây dựng miền Trung tại Đà Nẵng,"544B Nguyễn Lương Bằng, phường Hải Vân, thành phố Đà Nẵng",Thành phố Đà Nẵng,http://www.mucedanang.edu.vn/app/index,,16.1014986,108.1367542,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-xay-dung-mien-trung-tai-da-nang-XDN.html,merged
DBG,Trường Đại học Nông Lâm Bắc Giang,Phường Việt Yên - Tỉnh Bắc Ninh,Tỉnh Bắc Ninh,http://bafu.edu.vn/tuyensinh/,,21.2859467,106.0910245,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nong-lam-bac-giang-DBG.html,merged
TTB,Trường Đại Học Tây Bắc,"Đường Đặng Thai Mai, phường Tô Hiệu, tỉnh Sơn La.",Tỉnh Sơn La,http://www.taybacuniversity.edu.vn,,21.3097376,103.9415571,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tay-bac-TTB.html,merged
TDL,Trường Đại Học Đà Lạt,"Số 01, đường Phù Đổng Thiên Vương, P. Lâm Viên, tỉnh Lâm Đồng",Tỉnh Lâm Đồng,https://dlu.edu.vn/,"Mức học phí được thu theo quy định của Nhà nước, khoảng 12 triệu đồng / 1 học kỳ đối với ngành Hóa dược; Từ 7,5 đến 9 triệu đồng / 1 học kỳ đối với các ngành khác, phù hợp với khả năng của các bậc phụ huynh. Sinh viên các ngành Sư phạm được miễn học phí và được hỗ trợ sinh hoạt phí 3,63 triệu đồng / 1 tháng theo quy định của Chính phủ.",11.9560857,108.4453785,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-da-lat-TDL.html,merged
